Companies,URL,Description,Industry,Sub-Industry,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Company Status,Founded Year,City,State,Latest Valuation (M),Date of Exit,Latest Exit Round,Latest Full Year Revenue Min (M),Latest Full Year Revenue Max (M),Revenue Time Period
Creator’s X,creatorsx.jp,"Creator's X focuses on using artificial intelligence to enhance the creative process in animation production. The company develops services that utilize generative AI to help with creative tasks necessary in the animation production workflow. It primarily serves the animation industry. The company was founded in 2024 and is based in Tokyo, Japan.",Internet Software & Services,Multimedia & Graphics,Japan,0.71,"LEAPS, Creation Camp TENNOZ, Warehouse TERRADA, XTech Ventures",0.70,Seed VC,2024-12-19,Alive / Active,2024,Tokyo,,,,,,,
GAIB AI,gaib.ai,"GAIB AI focuses on the economic integration of artificial intelligence, operating within the AI and technology sector. The company specializes in tokenizing GPUs and their yield, transforming computational power into a new asset class. It was founded in 2024 and is based in Singapore.",Internet Software & Services,Application & Data Integration,Singapore,15.00,"280 Capital Partners, Aethir, Animoca Brands, CMCC Global, Chris Yin, Faction, Hack VC, Hashed, IDG Capital, IVC Venture Capital, J17 Capital, L2 Iterative Venture, Lucas Kozinski, MH Ventures, Near Foundation, Presto Ventures, Spartan, Amber Group",10.00,Series A,2025-07-29,Alive / Active,2024,Singapore,,,,,,,
Donna,askdonna.com,"Donna operates as an Artificial Intelligence (AI)-powered sales assistant within the sales technology sector. The company provides services that automate Customer Relationship Management (CRM) updates and draft follow-up emails, thereby reducing administrative tasks for sales representatives. Donna's platform integrates with existing tools and complies with enterprise-grade security standards. It was founded in 2024 and is based in Ghent, Belgium.",Internet Software & Services,Customer Relationship Management,Belgium,1.60,"Anthony De Clerck, Christophe Morbee, Everywhere Ventures, Ewout Meyns, Felix Van de Maele, Fortino Capital, Gilles Mattelin, Jeroen De Wit, Matthias Geeroms, Pitchdrive, Rodrigue Delépine, Syndicate One, Willem Delbare, welovefounders",1.60,Pre-Seed,2024-06-19,Alive / Active,2024,Ghent,,,,,,,
Bioptimus,bioptimus.com,"Bioptimus specializes in the development of artificial intelligence(AI) foundation models for the biomedicine and environmental science sectors. The company offers AI models that integrate and analyze biological and multimodal data. Bioptimus primarily serves sectors that require data analysis and modeling, such as biomedical research and environmental science. It was founded in 2024 and is based in Paris, France.",Internet Software & Services,Healthcare,France,76.00,"French Tech Next40/120, b2venture, Bpifrance, Cathay Innovation, Frst Capital, Headline, Hummingbird Ventures, NJF Capital, Owkin, Sofinnova Partners, Top Harvest Capital, Xavier Niel, Andera Partners, Boom Capital Ventures, Emmanuel Cassimatis, Hitachi Ventures, Pomifer Capital, Sunrise Venture, Thomas Wolf",41.00,Series A,2025-01-14,Alive / Active,2024,Paris,,,,,,,
The Interaction Company of California,interaction.co,"The Interaction Company of California operates as a software development company. It offers Poke, an artificial intelligence (AI) email assistant that exhibits the transformative potential of embedding models. It focuses on offering a contextual communication experience by filtering emails based on user-specific data. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,15.00,"Earlybird Venture, General Catalyst, Village Global",15.00,Seed VC,2025-09-08,Alive / Active,2024,Palo Alto,California,100.00,,,,,
AI Bob,aibob.io,"AI Bob offers Artificial intelligence (AI) driven solutions for the property development sector. It focuses on automating compliance reviews in architectural design. It offers products that integrate building regulations into architects' workflows, provides feedback on blueprint compliance, and generates necessary reports for building permits. It primarily serves the construction and architecture industries by streamlining regulatory processes and reducing errors. It was founded in 2024 and is based in Stockholm, Sweden.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Sweden,2.08,"EB Invest, Norrsken Accelerator, CapitalT, Fund F, Next Commerce Accelerator, Norrsken VC",2.08,Seed VC,2025-02-13,Alive / Active,2024,Stockholm,,12.49,,,,,
/dev/agents,sdsa.ai,"/dev/agents specializes in creating an operating system for artificial intelligence (AI) agents within the software industry. The company's focus is on developing a developer platform that supports the creation of consumer applications with artificial intelligence (AI) capabilities, user interface patterns, and a privacy model. The company primarily targets sectors that help with artificial intelligence (AI) integration into software applications. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,56.00,"Audrey Capital, Activant Capital, Alexandr Wang, Andrej Karpathy, Andy Rubin, CapitalG, Claire Hughes Johnson, Dave Burke, Index Ventures, Kyber Knight Capital, Nikesh Arora, Sarah Guo, Shishir Mehrotra",56.00,Seed VC,2024-11-26,Alive / Active,2024,San Francisco,California,500.00,,,,,
ZETIC.ai,zetic.ai,"ZETIC.ai specializes in on-device artificial intelligence software, focusing on providing server-less AI solutions across various sectors. The company offers services that allow businesses to implement AI model libraries on devices, which may reduce costs associated with graphics processing unit (GPU) cloud servers and improve security and performance. It primarily serves the technology sector. The company was founded in 2024 and is based in Seoul, South Korea.",Mobile Software & Services,Multimedia & Graphics,South Korea,1.00,"Korea Investment Accelerator, TheVentures, MARU, The Ventures",1.00,Seed VC - II,2025-01-09,Alive / Active,2024,Seoul,,7.50,,,,,
Simplex,simplex.sh,"Simplex focuses on creating photorealistic vision datasets for artificial intelligence model training within the technology industry. The company offers datasets rendered from three-dimensional scenes along with data and labeling services to facilitate AI development. Its datasets are primarily utilized by sectors involved in AI and machine learning. The company was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Multimedia & Graphics,United States,0.50,"Orange Collective, Pioneer Fund, Sterling Road, iAngels, iAngels, Y Combinator",0.50,Convertible Note,2024-09-25,Alive / Active,2024,San Francisco,California,,,,,,
Toma,toma.com,"Toma offers an Artificial Intelligence (AI) automation platform that provides services to automate tasks such as appointment scheduling, recall notifications, parts request handling, and service appointment management for the automotive dealership sector. It serves the automotive dealership industry with solutions that integrate with existing dealership software to streamline operations. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Customer Relationship Management,United States,17.50,"Flex Capital, a16z Bio Health, Y Combinator, Alumni Ventures, Andreessen Horowitz, Gokul Rajaram, Holman Automotive, Jonathan Siddharth, Larry Fitzgerald, Scale Angels Fund, Vijay Krishnan, Yossi Levi",17.00,Series A,2025-06-05,Alive / Active,2024,San Francisco,California,,,,,,
Cywreck,cywreck.com,"Cywreck specializes in artificial intelligence (AI) driven cybersecurity solutions within the technology sector. The company offers services such as black box penetration testing, threat modeling, and architecture design to identify and eliminate cybersecurity vulnerabilities. It primarily caters to businesses seeking protection for digital assets. It was founded in 2024 and is based in Singapore.",Internet Software & Services,Monitoring & Security,Singapore,2.00,"Thomas Bastienes, UPIGlobal",2.00,Seed VC,2024-05-15,Alive / Active,2024,Singapore,,,,,,,
Rena Labs,renalabs.xyz,"Rena Labs is a verifiable artificial intelligence firm. It develops the abstraction middleware called trusted execution environment (TEE), which aims to create on-chain infrastructure for verifiable artificial intelligence (AI) use cases. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,Application & Data Integration,United States,3.30,"Eterna Capital, Faction, Keyrock, Lyrik Ventures, Mapleblock Capital, Paper Ventures, Selini Capital",3.30,Pre-Seed,2025-01-09,Alive / Active,2024,New York,New York,,,,,,
North AI,north-ai.com,"North AI specializes in providing artificial intelligence-powered insights for the media and entertainment industry. The company offers services that analyze audience data, assess commercial risk, and evaluate content value to aid media companies in decision-making. It primarily serves the media industry. The company was founded in 2024  and is based in Manchester, United Kingdom.",Internet Software & Services,Collaboration & Project Management,United Kingdom,0.99,"SFC Capital, Innovate UK, Praetura Ventures Praeseed Program",0.25,Seed,2024-12-06,Alive / Active,2024,Manchester,England,,,,,,
